,,,accuracy,sharpe,max_dd
0,5,all,0.5109854429352237,1.0818891735975151,-0.015573601845303098
0,5,top100,0.5109854429352237,0.8614945683817714,-0.01877120551396827
0,5,trimmed100,0.5109854429352237,0.9049470583833807,-0.01936938616847317
0,5,common,0.5109854429352237,2.628333560951205,-0.01530377911919667
0,10,all,0.5090481086638887,0.27364563674762676,-0.019068727696408216
0,10,top100,0.5090481086638887,0.5431033700717501,-0.021357989316941883
0,10,trimmed100,0.5090481086638887,0.5747651104903058,-0.021629805997265827
0,10,common,0.5090481086638887,1.9319820606699103,-0.018251886314543664
0,15,all,0.5104009957248768,0.6679053491511854,-0.019973945946217153
0,15,top100,0.5104009957248768,1.0241650045290436,-0.021308516693892776
0,15,trimmed100,0.5104009957248768,0.8582159644698468,-0.02371575069830678
0,15,common,0.5104009957248768,2.452750554203941,-0.01757947090915113
0,20,all,0.5091671627252558,0.2619135795800998,-0.018927186895500547
0,20,top100,0.5091671627252558,0.6004063699970135,-0.01863307499105804
0,20,trimmed100,0.5091671627252558,0.7427742081819041,-0.01873991229712524
0,20,common,0.5091671627252558,1.8286985301547198,-0.019275065141968972
0,25,all,0.5063098652524487,-0.5292107162835938,-0.02002580732525583
0,25,top100,0.5063098652524487,-0.36241719004608086,-0.020505217844689727
0,25,trimmed100,0.5063098652524487,0.03872732284685655,-0.019811370357073588
0,25,common,0.5063098652524487,0.9992079792535696,-0.020683742311969233
0,30,all,0.5063098652524487,-0.5292107162835938,-0.02002580732525583
0,30,top100,0.5063098652524487,-0.36241719004608086,-0.020505217844689727
0,30,trimmed100,0.5063098652524487,0.03872732284685655,-0.019811370357073588
0,30,common,0.5063098652524487,0.9992079792535696,-0.020683742311969233
1,5,all,0.510038421992532,0.5736293684787591,-0.014359644247441516
1,5,top100,0.510038421992532,1.7365174547708015,-0.016004774781082642
1,5,trimmed100,0.510038421992532,1.7408646077270162,-0.01639184046905162
1,5,common,0.510038421992532,2.509223306819333,-0.014992629065696539
1,10,all,0.5094269170409654,0.05315026682624346,-0.018176530799650648
1,10,top100,0.5094269170409654,1.0277035427294792,-0.019397962658386003
1,10,trimmed100,0.5094269170409654,0.9821137481660573,-0.020685367840112545
1,10,common,0.5094269170409654,1.8466602923381537,-0.01670405472346459
1,15,all,0.509470209426917,-0.16012847349121398,-0.020322910937546235
1,15,top100,0.509470209426917,0.625061433402727,-0.02514383161569711
1,15,trimmed100,0.509470209426917,0.6183327729740333,-0.025708583467541124
1,15,common,0.509470209426917,1.3657121239860985,-0.023863067665672144
1,20,all,0.5102278261810704,0.04410105580482901,-0.022573070914179705
1,20,top100,0.5102278261810704,0.9739983497701985,-0.024781081112420167
1,20,trimmed100,0.5102278261810704,1.0403793964158297,-0.025188045926864744
1,20,common,0.5102278261810704,1.2859859430891074,-0.023344117104429962
1,25,all,0.5088857622165701,-0.30023894933931256,-0.020143624094202006
1,25,top100,0.5088857622165701,0.72339815642323,-0.021476464033425735
1,25,trimmed100,0.5088857622165701,0.6484055766216696,-0.02351431757632516
1,25,common,0.5088857622165701,1.4588122354643003,-0.020803982329990145
1,30,all,0.5102115915363385,0.16635524495242407,-0.01643629687617776
1,30,top100,0.5102115915363385,1.2831662063403382,-0.017797866825042807
1,30,trimmed100,0.5102115915363385,1.2045108908557958,-0.019214935101090513
1,30,common,0.5102115915363385,1.8970804343124499,-0.015923202857166308
2,5,all,0.5103955841766329,0.48929691786781965,-0.015518250237886111
2,5,top100,0.5103955841766329,1.1238256192206522,-0.017453993114255884
2,5,trimmed100,0.5103955841766329,1.081333346161057,-0.018259298837940974
2,5,common,0.5103955841766329,1.6576211875894578,-0.023472302504319642
2,10,all,0.5134476973862222,0.7919002122681542,-0.017754869380797844
2,10,top100,0.5134476973862222,1.1233313798975852,-0.020896255080388615
2,10,trimmed100,0.5134476973862222,1.1705367293972948,-0.020817581029092813
2,10,common,0.5134476973862222,2.537492130989417,-0.018591409974180184
2,15,all,0.5136100438335408,0.8781367927328452,-0.017754202788281104
2,15,top100,0.5136100438335408,1.5088252955827208,-0.019289243271729206
2,15,trimmed100,0.5136100438335408,1.4471693876294038,-0.020753011474013316
2,15,common,0.5136100438335408,2.8131300892745035,-0.019700468206393595
2,20,all,0.5132691162941717,0.5522636448663003,-0.018206120272129866
2,20,top100,0.5132691162941717,0.9346718089151999,-0.02139931249386562
2,20,trimmed100,0.5132691162941717,0.8958775530273769,-0.02230679544640124
2,20,common,0.5132691162941717,2.5737266606736706,-0.020426483662013717
2,25,all,0.5116781211104497,0.21933653787757243,-0.01591432721781827
2,25,top100,0.5116781211104497,0.9509677413666401,-0.01697025116285522
2,25,trimmed100,0.5116781211104497,0.9161179265798723,-0.017983009929982807
2,25,common,0.5116781211104497,1.5819254722111151,-0.020374453492966405
2,30,all,0.5115590670490827,0.21682771099339124,-0.016811466604377823
2,30,top100,0.5115590670490827,1.187674137812537,-0.01785398881850153
2,30,trimmed100,0.5115590670490827,1.1935082697987374,-0.01942426511146378
2,30,common,0.5115590670490827,2.703253519790012,-0.014830716859584703
3,5,all,0.511299312733373,0.7238315242203572,-0.019646093406037957
3,5,top100,0.511299312733373,0.8550194796210252,-0.021887290004022675
3,5,trimmed100,0.511299312733373,0.9578962316361008,-0.02107473413841332
3,5,common,0.511299312733373,3.254615973168473,-0.02129499985798111
3,10,all,0.5122463336760648,0.7259182944640782,-0.019950106981985516
3,10,top100,0.5122463336760648,0.8672089707096104,-0.020748583600685544
3,10,trimmed100,0.5122463336760648,0.8657445190908489,-0.021406854127884012
3,10,common,0.5122463336760648,2.452862764649472,-0.022026081352504945
3,15,all,0.512100221873478,0.6276318848101688,-0.019935944016342133
3,15,top100,0.512100221873478,0.8598080081199067,-0.021075876135213223
3,15,trimmed100,0.512100221873478,1.0073031995287833,-0.02191856821428384
3,15,common,0.512100221873478,2.342382267622845,-0.022441733100134753
3,20,all,0.5108718004221008,0.23873969868048403,-0.01882438144623899
3,20,top100,0.5108718004221008,0.40528496245542794,-0.020557377983085656
3,20,trimmed100,0.5108718004221008,0.4142283207290203,-0.02027657363519353
3,20,common,0.5108718004221008,2.2499616765795416,-0.020434854494204013
3,25,all,0.5106769846853185,0.18543545466325784,-0.019669489176610933
3,25,top100,0.5106769846853185,-0.008538714986269826,-0.022142262291923065
3,25,trimmed100,0.5106769846853185,-0.07856894637699748,-0.022321016716517317
3,25,common,0.5106769846853185,1.9514881442372078,-0.01937641300975501
3,30,all,0.5119108176849396,0.4084763094768475,-0.01864380775510488
3,30,top100,0.5119108176849396,0.7025512437331453,-0.01879741105124011
3,30,trimmed100,0.5119108176849396,0.43242595047199994,-0.02046196602032091
3,30,common,0.5119108176849396,1.8442892370174724,-0.021739024233553117
4,5,all,0.509140104984036,0.6721246263315693,-0.01663381365899741
4,5,top100,0.509140104984036,1.1890822006769157,-0.017256349792399983
4,5,trimmed100,0.509140104984036,1.2096137071387583,-0.017816323795689093
4,5,common,0.509140104984036,1.8126214846059407,-0.016530295769553782
4,10,all,0.5113696628605444,0.6661717069163589,-0.02018905282506589
4,10,top100,0.5113696628605444,1.4475834086543498,-0.022046076210962218
4,10,trimmed100,0.5113696628605444,1.44806590406008,-0.02286590101896946
4,10,common,0.5113696628605444,2.676527760769801,-0.020042260831975467
4,15,all,0.5135451052546134,0.8360015809282216,-0.018798157748688094
4,15,top100,0.5135451052546134,1.5274476610049332,-0.02013104133611554
4,15,trimmed100,0.5135451052546134,1.4915488276358426,-0.020841222764032885
4,15,common,0.5135451052546134,2.6982159944760453,-0.018443616280663933
4,20,all,0.5122950376102603,0.3692453467742453,-0.018066138574980295
4,20,top100,0.5122950376102603,1.0448944266283777,-0.022055530865167094
4,20,trimmed100,0.5122950376102603,1.0616315809925108,-0.022618142492483284
4,20,common,0.5122950376102603,2.991132280236664,-0.019570761477706533
4,25,all,0.5131608853292927,0.6432270017609929,-0.017983513017397867
4,25,top100,0.5131608853292927,1.5410066629452739,-0.016969415796574627
4,25,trimmed100,0.5131608853292927,1.6069111815509465,-0.018498063191407343
