,,,accuracy,sharpe,max_dd
0,5,all,0.5109854429352237,1.1459437378028678,-0.015573601845303098
0,5,top100,0.5109854429352237,0.9125004019640399,-0.01877120551396827
0,5,trimmed100,0.5109854429352237,0.9585255494786507,-0.01936938616847317
0,5,common,0.5109854429352237,2.78394724573669,-0.01530377911919667
0,10,all,0.5090481086638887,0.2898471594509923,-0.019068727696408216
0,10,top100,0.5090481086638887,0.5752584655633947,-0.021357989316941883
0,10,trimmed100,0.5090481086638887,0.6087947778271883,-0.021629805997265827
0,10,common,0.5090481086638887,2.046367408050056,-0.018251886314543664
0,15,all,0.5104009957248768,0.7074494975855787,-0.019973945946217153
0,15,top100,0.5104009957248768,1.084801939106491,-0.021308516693892776
0,15,trimmed100,0.5104009957248768,0.9090276843204085,-0.02371575069830678
0,15,common,0.5104009957248768,2.5979686335489323,-0.01757947090915113
0,20,all,0.5091671627252558,0.27742049157153875,-0.018927186895500547
0,20,top100,0.5091671627252558,0.6359541592852571,-0.01863307499105804
0,20,trimmed100,0.5091671627252558,0.7867510584630291,-0.01873991229712524
0,20,common,0.5091671627252558,1.9369688505078904,-0.019275065141968972
0,25,all,0.5063098652524487,-0.5605432803128917,-0.02002580732525583
0,25,top100,0.5063098652524487,-0.3838745405173284,-0.020505217844689727
0,25,trimmed100,0.5063098652524487,0.041020221092197766,-0.019811370357073588
0,25,common,0.5063098652524487,1.0583673027994112,-0.020683742311969233
0,30,all,0.5063098652524487,-0.5605432803128917,-0.02002580732525583
0,30,top100,0.5063098652524487,-0.3838745405173284,-0.020505217844689727
0,30,trimmed100,0.5063098652524487,0.041020221092197766,-0.019811370357073588
0,30,common,0.5063098652524487,1.0583673027994112,-0.020683742311969233
1,5,all,0.510038421992532,0.607591792828675,-0.014359644247441516
1,5,top100,0.510038421992532,1.8393300824547096,-0.016004774781082642
1,5,trimmed100,0.510038421992532,1.843934613888258,-0.01639184046905162
1,5,common,0.510038421992532,2.657784924159281,-0.014992629065696539
1,10,all,0.5094269170409654,0.05629709300958763,-0.018176530799650648
1,10,top100,0.5094269170409654,1.08854998076429,-0.019397962658386003
1,10,trimmed100,0.5094269170409654,1.0402609869721144,-0.020685367840112545
1,10,common,0.5094269170409654,1.9559940606646449,-0.01670405472346459
1,15,all,0.509470209426917,-0.1696090744960669,-0.020322910937546235
1,15,top100,0.509470209426917,0.6620689557028623,-0.02514383161569711
1,15,trimmed100,0.509470209426917,0.6549419167507818,-0.025708583467541124
1,15,common,0.509470209426917,1.4465707711255336,-0.023863067665672144
1,20,all,0.5102278261810704,0.04671211244492917,-0.022573070914179705
1,20,top100,0.5102278261810704,1.0316651065451146,-0.024781081112420167
1,20,trimmed100,0.5102278261810704,1.1019763237832125,-0.025188045926864744
1,20,common,0.5102278261810704,1.3621243047337421,-0.023344117104429962
1,25,all,0.5088857622165701,-0.3180149614547247,-0.020143624094202006
1,25,top100,0.5088857622165701,0.7662278239968183,-0.021476464033425735
1,25,trimmed100,0.5088857622165701,0.6867952173098321,-0.02351431757632516
1,25,common,0.5088857622165701,1.5451829879225971,-0.020803982329990145
1,30,all,0.5102115915363385,0.17620450953399794,-0.01643629687617776
1,30,top100,0.5102115915363385,1.3591376220416873,-0.017797866825042807
1,30,trimmed100,0.5102115915363385,1.2758254229513655,-0.019214935101090513
1,30,common,0.5102115915363385,2.0093993884603285,-0.015923202857166308
2,5,all,0.5103955841766329,0.5182663369228487,-0.015518250237886111
2,5,top100,0.5103955841766329,1.1903630816879216,-0.017453993114255884
2,5,trimmed100,0.5103955841766329,1.1453550019270942,-0.018259298837940974
2,5,common,0.5103955841766329,1.7557626658293561,-0.023472302504319642
2,10,all,0.5134476973862222,0.8387856273632068,-0.017754869380797844
2,10,top100,0.5134476973862222,1.1898395803246895,-0.020896255080388615
2,10,trimmed100,0.5134476973862222,1.2398397799478276,-0.020817581029092813
2,10,common,0.5134476973862222,2.687727438441996,-0.018591409974180184
2,15,all,0.5136100438335408,0.9301279494463832,-0.017754202788281104
2,15,top100,0.5136100438335408,1.5981571320860768,-0.019289243271729206
2,15,trimmed100,0.5136100438335408,1.5328508111227999,-0.020753011474013316
2,15,common,0.5136100438335408,2.9796848772499303,-0.019700468206393595
2,20,all,0.5132691162941717,0.5849610855669417,-0.018206120272129866
2,20,top100,0.5132691162941717,0.9900101900138952,-0.02139931249386562
2,20,trimmed100,0.5132691162941717,0.9489190730286436,-0.02230679544640124
2,20,common,0.5132691162941717,2.72610727752092,-0.020426483662013717
2,25,all,0.5116781211104497,0.23232262433718742,-0.01591432721781827
2,25,top100,0.5116781211104497,1.0072709429635627,-0.01697025116285522
2,25,trimmed100,0.5116781211104497,0.9703578025115784,-0.017983009929982807
2,25,common,0.5116781211104497,1.6755852935686832,-0.020374453492966405
2,30,all,0.5115590670490827,0.2296652593063507,-0.016811466604377823
2,30,top100,0.5115590670490827,1.2579918294690506,-0.01785398881850153
2,30,trimmed100,0.5115590670490827,1.2641713783343658,-0.01942426511146378
2,30,common,0.5115590670490827,2.8633029318485095,-0.014830716859584703
3,5,all,0.511299312733373,0.7666868498613918,-0.019646093406037957
3,5,top100,0.511299312733373,0.9056419476988758,-0.021887290004022675
3,5,trimmed100,0.511299312733373,1.0146096429251452,-0.02107473413841332
3,5,common,0.511299312733373,3.447309469789637,-0.02129499985798111
3,10,all,0.5122463336760648,0.7688971698751078,-0.019950106981985516
3,10,top100,0.5122463336760648,0.9185531324309679,-0.020748583600685544
3,10,trimmed100,0.5122463336760648,0.9170019761732021,-0.021406854127884012
3,10,common,0.5122463336760648,2.5980874875503495,-0.022026081352504945
3,15,all,0.512100221873478,0.6647915938118006,-0.019935944016342133
3,15,top100,0.512100221873478,0.9107139868508501,-0.021075876135213223
3,15,trimmed100,0.512100221873478,1.0669418104355948,-0.02191856821428384
3,15,common,0.512100221873478,2.4810658583422267,-0.022441733100134753
3,20,all,0.5108718004221008,0.25287457287156706,-0.01882438144623899
3,20,top100,0.5108718004221008,0.4292803515235536,-0.020557377983085656
3,20,trimmed100,0.5108718004221008,0.4387532121997279,-0.02027657363519353
3,20,common,0.5108718004221008,2.383173393813772,-0.020434854494204013
3,25,all,0.5106769846853185,0.1964143862641533,-0.019669489176610933
3,25,top100,0.5106769846853185,-0.009044259990940244,-0.022142262291923065
3,25,trimmed100,0.5106769846853185,-0.08322071639473183,-0.022321016716517317
3,25,common,0.5106769846853185,2.0670283730162513,-0.01937641300975501
3,30,all,0.5119108176849396,0.43266064612636473,-0.01864380775510488
3,30,top100,0.5119108176849396,0.7441466444890426,-0.01879741105124011
3,30,trimmed100,0.5119108176849396,0.45802825474172915,-0.02046196602032091
